,Year,Projected Adjusted Sea Level (in),Projected Global Surface Temperature Anomaly (celsius),Projected Greenland Ice Mass Change (billion metric tons),Projected Global CO2 Emissions (billion metric tons)
177,2200,30.753933748126478,3.014879999999998,-35224.0,143.33799999999997
178,2201,30.87170546187932,3.0265888999999966,-35399.39500000002,143.92299000000003
179,2202,30.989477175632132,3.0382977999999987,-35574.79000000004,144.50797999999986
180,2203,31.107248889384966,3.0500066999999973,-35750.185,145.09296999999992
181,2204,31.22502060313781,3.061715599999996,-35925.580000000016,145.67795999999998
182,2205,31.34279231689062,3.073424499999998,-36100.975000000035,146.26294999999982
183,2206,31.460564030643454,3.0851333999999966,-36276.369999999995,146.84793999999988
184,2207,31.5783357443963,3.0968422999999987,-36451.765000000014,147.43292999999994
185,2208,31.696107458149143,3.1085511999999973,-36627.16000000003,148.01792
186,2209,31.813879171901952,3.120260099999996,-36802.55500000005,148.60290999999984
187,2210,31.93165088565479,3.131968999999998,-36977.95000000001,149.1878999999999
188,2211,32.04942259940763,3.1436778999999966,-37153.34500000003,149.77288999999996
189,2212,32.16719431316048,3.1553867999999987,-37328.74000000005,150.35788000000002
190,2213,32.284966026913274,3.1670956999999973,-37504.13500000001,150.94286999999986
191,2214,32.40273774066612,3.178804599999996,-37679.53000000003,151.52785999999992
192,2215,32.52050945441896,3.190513499999998,-37854.92500000005,152.11284999999998
193,2216,32.638281168171766,3.2022223999999966,-38030.32000000001,152.69783999999981
194,2217,32.75605288192461,3.2139312999999987,-38205.715000000026,153.28282999999988
195,2218,32.873824595677455,3.2256401999999973,-38381.110000000044,153.86781999999994
196,2219,32.991596309430285,3.237349099999996,-38556.505000000005,154.45281
197,2220,33.109368023183094,3.249057999999998,-38731.90000000002,155.03779999999983
198,2221,33.227139736935946,3.2607668999999966,-38907.29500000004,155.6227899999999
199,2222,33.34491145068878,3.2724757999999987,-39082.69,156.20777999999996
200,2223,33.46268316444162,3.2841846999999973,-39258.08500000002,156.79277000000002
201,2224,33.58045487819443,3.295893599999996,-39433.48000000004,157.37775999999985
202,2225,33.69822659194727,3.307602499999998,-39608.875,157.96274999999991
203,2226,33.815998305700106,3.3193113999999966,-39784.27000000002,158.54773999999998
204,2227,33.93377001945292,3.3310202999999987,-39959.66500000004,159.1327299999998
205,2228,34.05154173320575,3.3427291999999973,-40135.06,159.71771999999987
206,2229,34.1693134469586,3.354438099999996,-40310.455000000016,160.30270999999993
207,2230,34.28708516071144,3.366146999999998,-40485.850000000035,160.8877
208,2231,34.404856874464244,3.3778558999999966,-40661.244999999995,161.47268999999983
209,2232,34.52262858821709,3.3895647999999987,-40836.640000000014,162.0576799999999
210,2233,34.64040030196993,3.4012736999999973,-41012.03500000003,162.64266999999995
211,2234,34.75817201572278,3.412982599999996,-41187.43000000005,163.22766000000001
212,2235,34.87594372947557,3.424691499999998,-41362.82500000001,163.81264999999985
213,2236,34.99371544322842,3.4364003999999966,-41538.22000000003,164.3976399999999
214,2237,35.11148715698127,3.4481092999999987,-41713.61500000005,164.98262999999997
215,2238,35.2292588707341,3.4598181999999973,-41889.01000000001,165.56762000000003
216,2239,35.34703058448691,3.471527099999996,-42064.40500000003,166.15260999999987
217,2240,35.46480229823975,3.483235999999998,-42239.80000000005,166.73759999999993
218,2241,35.58257401199259,3.4949448999999966,-42415.19500000001,167.32259
219,2242,35.7003457257454,3.5066537999999987,-42590.590000000026,167.90757999999983
220,2243,35.818117439498245,3.5183626999999973,-42765.985000000044,168.4925699999999
221,2244,35.935889153251075,3.530071599999996,-42941.380000000005,169.07755999999995
222,2245,36.05366086700392,3.541780499999998,-43116.77500000002,169.66255
223,2246,36.171432580756736,3.5534893999999966,-43292.17000000004,170.24753999999984
224,2247,36.28920429450957,3.5651982999999987,-43467.565,170.8325299999999
225,2248,36.40697600826241,3.5769071999999973,-43642.96000000002,171.41751999999997
226,2249,36.524747722015256,3.588616099999996,-43818.35500000004,172.00251000000003
227,2250,36.64251943576806,3.600324999999998,-43993.75,172.58749999999986
228,2251,36.7602911495209,3.6120338999999966,-44169.14500000002,173.17248999999993
229,2252,36.87806286327375,3.6237427999999987,-44344.54000000004,173.75748
